MENTION,position,situation,votes,party,state,region,term,age,Twitter,twitter_followers,Facebook,facebook_followers,Instagram,instagram_followers,YouTube,youtube_link,youtube_followers,Site,variations
Maria do Rosário,Deputada Federal,Titular em exercício,97.303,PT,RS,Sul,fev-2019/jan-2023,54,@mariadorosario,398.514,Maria do Rosário ,361.978,@_mariadorosario,158 mil,UCPXyBJmPbkonFT1MQuSrjsQ,https://www.youtube.com/user/mariadorosariopt,2.540,,"Maria do Rosário, mariadorosariopt, Maria Rosário"
Maria Rosas,Deputada Federal,Titular em exercício,71.745,REPUBLICANOS,SP,Sudeste,fev-2019/jan-2023,55,@mariarosassp,1.589,Maria Rosas ,10.983,@mariarosas.oficial,"24,2 mil",UCWIJ_PIc4AsfR_LlBxSILSA,https://www.youtube.com/channel/UCWIJ_PIc4AsfR_LlBxSILSA,190,,"Maria Rosas, mariarosas.oficial, mariarosassp"
Mariana Carvalho,Deputada Federal,Titular em exercício,38.776,PSDB,RO,Norte,fev-2019/jan-2023,34,@DeputadaMariana,7.088,Mariana Carvalho ,73.755,@marianacarvalho4545,"65,5 mil",Não tem,,,,"Mariana Carvalho, marianacarvalho4545, DeputadaMariana, Maryana Carvalho, Marianna Carvalho "
Marília Arraes,Deputada Federal,Titular em exercício,193.108,PT,PE,Nordeste,fev-2019/jan-2023,36,@MariliaArraes,70.107,Marília Arraes ,141.090,@mariliaarraes,173 mil,UCMygck8SGte9ZtudThgwxDQ,https://www.youtube.com/c/Mar%C3%ADliaArraesPE/videos,.3.160,,"Marília Arraes, MaríliaArraesPE, Marilia Arrais        Marílha Arrais        Marilha Arraes        Marilía Araes        Marília Arais"
Marina Santos,Deputada Federal,Titular em exercício,70.828,SOLIDARIEDADE,PI,Nordeste,fev-2019/jan-2023,40,-,-,Dra Marina ,7.025,dra.marinasantos,"12,3 mil",Não tem,,,,"Marina Santos, Dra Marina "
Natália Bonavides,Deputada Federal,Titular em exercício,112.998,PT,RN,Nordeste,fev-2019/jan-2023,32,@natbonavides,52.056,Natália Bonavides ,45.026,@nataliabonavides,"63, 9 mil",UC4SZ1UNy6t9Mz99In-Rt1tw,https://www.youtube.com/channel/UC4SZ1UNy6t9Mz99In-Rt1tw,2.890,,"Natália Bonavides, natbonavides, Nathalia Bonavides, Nathalya Bonavides, Natalya Bonavides, Natalia Bonavinde, Natalya Bonavinde, Nathalya Bonavinde, Nathalia Bonavinde, Natália Bonavide, Nathália Bonavide, Nathalya Bonavide, Natalya Bonavide"
Norma Ayub,Deputada Federal,Titular em exercício,57.156,UNIÃO,ES,Sudeste,fev-2019/jan-2023,61,-,-,Norma Ayub ,14.452,@deputadanormaayub,"12,6 mil",UCtJFwYUBxNAiLNTqvUh9eSQ,https://www.youtube.com/channel/UCtJFwYUBxNAiLNTqvUh9eSQ,12,,"Norma Ayub, deputadanormaayub, Norma Aiub        Norma Ahiub        Norma Ahyub"
Paula Belmonte,Deputada Federal,Titular em exercício,45.287,CIDADANIA,DF,Centro-Oeste,fev-2019/jan-2023,47,@paulabelmonte,21.839,Paula Belmonte ,254.933,@paulabelmonteoficial,"62,7 mil",UCVw8ykZEHdvNCu0JLsvpfIA,https://www.youtube.com/c/PaulaBelmonteoficial/videos,13.600,,"Paula Belmonte, PaulaBelmonteoficial, Paulla Belmonte        Paula Beomonte        Paula Belmomte        Paula Belomonte        Paula Bellmonte        Paula Belmonti"
Perpétua Almeida,Deputada Federal,Titular em exercício,18.374,PCdoB,AC,Norte,fev-2019/jan-2023,55,@perpetua_acre,18.381,Perpétua Almeida ,64.905,@perpetua_acre,"12, 2 mil",UComzZKuRHa89DmM5DM_whVA,https://www.youtube.com/user/deputadaperpetua,19,,"Perpétua Almeida, deputadaperpetua, perpetua_acre, Perpétua Acre        Perpéta Acre        Perpéta Almeida"
Policial Katia Sastre,Deputada Federal,Titular em exercício,264.013,PL,SP,Sudeste,fev-2019/jan-2023,45,@KatiaSastre,13.545,Policial Katia Sastre ,22.365,@policialkatiasastre,"36,5 mil",UCYjxKh5VZHt0ZbcFE7Jb3Hw,https://www.youtube.com/channel/UCYjxKh5VZHt0ZbcFE7Jb3Hw,297,,"Policial Katia Sastre, KatiaSastre, Catia Sastre, Katia Satre, Policial Catia Sastre, Policial Katia Satre"
Dayane Pimentel,Deputada Federal,Titular em exercício,136.742,UNIÃO,BA,Nordeste,fev-2019/jan-2023,34,@deppimentel,46.360,Professora Dayane Pimentel ,171.846,@professoradayanepimentel,148 mil ,UCJfx38MAnPjNihMIECOAczg,https://www.youtube.com/channel/UCJfx38MAnPjNihMIECOAczg,1.046,,"Prof. Dayane Pimentel, professoradayanepimentel, deppimentel, Dayane Pimentel        Daiane Pimentel        Professora Daiane Pimentel        Professora Dayane Pimentel        "
Marcivânia Flexa,Deputada Federal,Titular em exercício,14.196,PCdoB,AP,Norte,fev-2019/jan-2023,47,@profmarcivania,6.098,Professora Marcivânia,15.285,@profmarcivania,4.076,Não tem,,,,"Prof. Marcivânia Flexa, profmarcivania, Marcivânia        Marcivâna        Professora Marcivâna        Marsivania        Marcilvânia Flecha"
Dorinha,Deputada Federal,Titular em exercício,48.008,UNIÃO,TO,Norte,fev-2019/jan-2023,56,@profdorinha,7.473,Professora Dorinha ,21.973,@profdorinha,"15,1 mil",UCszxmXXxzPjOBXowUIF8BZg,https://www.youtube.com/channel/UCszxmXXxzPjOBXowUIF8BZg,79,,"Professora Dorinha, profdorinha, Dorinha, Prof Dorinha"
Rosa Neide,Deputada Federal,Titular em exercício,51.015,PT,MT,Centro-Oeste,fev-2019/jan-2023,57,@prof_rosaneide,10.083,Professora Rosa Neide ,21.090,@prof_rosaneide,7.698,UC4CfnB9C6PN_RHQJ0gEgXNw,https://www.youtube.com/channel/UC4CfnB9C6PN_RHQJ0gEgXNw,142,,"Professora Rosa Neide, prof_rosaneide, Rosa Neide        Rosaneide        Prof. Rosa Neide        Rosa Neidi"
Rejane Dias,Deputada Federal,Titular em exercício,138.697,PT,PI,Nordeste,fev-2019/jan-2023,48,@rejane_dias,7.043,Rejane Dias ,37.356,@rejane.dias,"63,3 mil",Não tem,,,,"Rejane Dias, rejane_dias, Regiane Dias, Rejiani Dias"
Renata Abreu,Deputada Federal,Titular em exercício,161.239,PODEMOS,SP,Sudeste,fev-2019/jan-2023,38,@RenataAbreu1919,5.058,Renata Abreu ,169.288,@renataabreu1919,"29,9 mil",UCLWs_4VaAURKXjNPmpVhIgQ,https://www.youtube.com/channel/UCLWs_4VaAURKXjNPmpVhIgQ,549,,"Renata Abreu, renataabreu1919"
Rosana Valle,Deputada Federal,Titular em exercício,106.100,PSB,SP,Sudeste,fev-2019/jan-2023,49,@DepRosanaValle,3.209,Rosana Valle ,119.303,@rosanavalleoficial,"59,9 mil",UCoiIg7-jlQtJX3CCgOceQbA,https://www.youtube.com/channel/UCoiIg7-jlQtJX3CCgOceQbA,675,,"Rosana Valle, rosanavalleoficial, DepRosanaValle, Rosana Vale        Rosane Valle, Rosane Vale"
Rosângela Gomes,Deputada Federal,Titular em exercício,63.952,REPUBLICANOS,RJ,Sudeste,fev-2019/jan-2023,54,@rosangelasgomes,2.826,Rosangela Gomes ,54.515,@deputadarosangelagomes,"20,8 mil",UCxstq6uT2GmAFPzfV2raXdg,https://www.youtube.com/channel/UCxstq6uT2GmAFPzfV2raXdg,171,,"Rosângela Gomes, deputadarosangelagomes, rosangelasgomes, "
Rose Modesto,Deputada Federal,Titular em exercício,119.799,PSDB,MS,Centro-Oeste,fev-2019/jan-2023,42,@rosemodestoms,744,Rose Modesto ,50.745,@rosemodestoms,"23,5 mil",Não tem,,,,"Rose Modesto, rosemodestoms, Rose Modestto        Rosi Modesto"
