AUTHOR_ID,TEXT,nn,in_reply_to_user_id,hashtags,possibly_sensitive,conversation_id,source,created_at,type,id1,ID,retweet_count,reply_count,like_count,quote_count,lang,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO,OBSERVACOES
40767391,"@CarlaZambelli38 @valoreconomico Vejam aqui pq Bolsonar editou MP para liberar fake news
https://t.co/ooUTzzXlZg",331,975127727501185025,NULL,FALSE,1435269951179444226,Twitter Web App,2021-09-07T16:41:50.000Z,replied_to,1435282171028201481,1435269951179444226,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1103446283413581830,@CarlaZambelli38 @jairbolsonaro @MinCidadania O STF não curtiu isso…,332,975127727501185025,NULL,FALSE,1452605871276560386,Twitter for iPhone,2021-10-25T12:08:53.000Z,replied_to,1452608098158485506,1452605871276560386,0,1,3,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
743150507137568770,@CarlaZambelli38 @fabifbbr A luta é árdua mas juntos vamos conseguir derrubar essa ditadura imposta pelo STF,333,975127727501185025,NULL,FALSE,1434188653392187400,Twitter for Android,2021-09-05T02:39:16.000Z,replied_to,1434345356498804741,1434326227255447553,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1329177618806157317,"@erikakokay 🇧🇷🇧🇷🇧🇷
 NOTA DE APOIO! Nós, brasileiros de bem, apoiamos o pedido de impeachment do Ministro do STF, Alexandre de Moraes, feito pelo PR Jair Bolsonaro e queremos que o Senado Federal, por seu Presidente, dê celeridade no processo, para que seja feita JUSTIÇA no Brasil.",334,87021796,NULL,FALSE,1429419441964650502,Twitter for iPhone,2021-08-23T05:52:39.000Z,replied_to,1429419441964650502,1429682980079947778,0,0,1,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
205677715,"@Brisa43259555 @JANI_VALVERD @elizianegama 81 no Senado e 513 do outro lado. Todos em ano eleitoral \alinhados\ em tese c os anseios do povo. Qdo eleitos, o q fazem? Como se não conhecessem a história do país em q vivem e ignorando solenemente o bem estar das futuras gerações votam contra o povo e fragilizam a democracia",335,1075527261485453312,NULL,FALSE,1466561789475307520,Twitter Web App,2021-12-03T12:06:13.000Z,replied_to,1466737278835998732,1466740552846790667,0,1,1,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1080614672510869504,"@CarlaZambelli38 @folha Lula tem Relação com a FARC, Fernandinho beira mar ( líder do CV) em entrevista com Cabrine fala de sua boa relação com a FARC, “temos negócios em comum”,oooo tempo bom quando tinham “diálogo” com governo",336,975127727501185025,NULL,FALSE,1454810556045611009,Twitter for iPhone,2021-11-01T14:11:50.000Z,replied_to,1454938926943248384,1455175754451283970,0,0,1,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1402065053092884496,@correio https://t.co/DuF3JBbAU4,337,67150902,NULL,FALSE,1422642665175322630,Twitter Web App,2021-08-03T19:37:55.000Z,quoted,1422630514406592521,1422642907304050692,0,0,0,0,und,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1130940895363325953,@joicehasselmann Vai descansar e coloca um carpete pq esse piso é muito ESCORREGADIO,338,116519514,NULL,FALSE,1435316089588703238,Twitter for Android,2021-09-07T19:34:39.000Z,replied_to,1435325662190047237,1435316089588703238,0,0,0,0,pt,Insulto,Satírica,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1205453350784946176,@CarlaZambelli38 https://t.co/KZSINAHI4Z,339,975127727501185025,NULL,FALSE,1433862198649135108,Twitter for Android,2021-09-03T20:33:25.000Z,replied_to,1433890901118566402,1433862198649135108,0,0,0,0,und,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
79757767,@Biakicis 🙁,340,357030742,NULL,FALSE,1425261173361020929,Twitter for Android,2021-08-11T01:24:08.000Z,replied_to,1425261173361020929,1425266750740967428,0,0,0,0,und,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
